         NAME                     SOUNDEX CODE
         ALEXANDER                A425
         ORDERS                   O636
         AUDIO                    A300
         ERROR                    E660
         EASILY                   E240
         TAKING                   T252
         PREVENTION               P615
         FINDER                   F536
         REGULATION               R243
         FINDING                  F535
         ORGANIZATION             O625
         BOUND                    B530
         STATIC                   S332
         PHILIPS                  P412
         HERE                     H600
         CAMPING                  C515
         GATEWAY                  G300
         JEWELRY                  J460
         STRAIGHT                 S362
         JEAN                     J500
         MIND                     M530
         ABSTRACT                 A123
         TOUR                     T600
         DOING                    D520
         GROW                     G600
         CIRCUMSTANCES            C625
         BOOK                     B200
         PHILADELPHIA             P434
         ROBERTS                  R163
         CONSULTANT               C524
         NOTHING                  N352
         CORPORATION              C616
         JEWISH                   J200
         ACCIDENT                 A235
         ATOM                     A350
         SCENE                    S500
         CREAM                    C650
         COLUMBIA                 C451
         OBJECT                   O122
         SPECS                    S120
         DSL                      D240
         INITIATIVES              I533
         CARTOONS                 C635
         ADD                      A300
         BROWN                    B650
         STATED                   S333
         RETURNED                 R365
         OURSELVES                O624
         ETHNIC                   E352
         WEDDING                  W352
         PARAMETERS               P653
         ENGINES                  E525
         OPENING                  O155
         CONTROLLED               C536
         ACTUAL                   A234
         ORIENTED                 O653
         BANG                     B520
         YEARS                    Y620
         INITIATIVE               I533
         CUTS                     C320
         ORGANIC                  O625
         VEHICLE                  V240
         SCIENCE                  S520
         OKAY                     O200
         KOREAN                   K650
         PROCESSING               P622
         ADDITIONAL               A335
         ACCESSIBILITY            A221
         MICHIGAN                 M225
         ASPECT                   A212
         OFF                      O100
         PAPER                    P160
         FINLAND                  F545
         RESTRICTED               R236
         SIGNAL                   S254
         RECOGNITION              R225
         FILED                    F430
         MESH                     M200
         SOFT                     S130
         FACES                    F220
         WATERS                   W362
         TICKETS                  T232
         GOING                    G520
         HITS                     H320
         AGAINST                  A252
         ENCOURAGED               E526
         JUDGE                    J320
         LOOKED                   L230
         OTHERWISE                O362
         PORTUGAL                 P632
         SCHEDULES                S342
         SPONSOR                  S152
         PAN                      P500
         TRUSTED                  T623
         PREMIUM                  P655
         IMAGE                    I520
         DEAD                     D300
         NETHERLANDS              N364
         FUNDS                    F532
         SCORE                    S600
         LEGAL                    L240
         VIDEO                    V300
         III                      I000
         FINAL                    F540
         HILLS                    H420
         DATES                    D320
         POUND                    P530
         RUGBY                    R210
         BAR                      B600
         EXPERTISE                E216
         DETERMINE                D365
         UPSKIRT                  U126
         ARAB                     A610
         DOUGLAS                  D242
         WIDTH                    W300
         PAKISTAN                 P223
         PRIOR                    P660
         MERCHANTS                M625
         SOCIAL                   S240
         LIVE                     L100
         PRIMARY                  P656
         STAND                    S353
         MERCHANT                 M625
         ULTRA                    U436
         SEATS                    S320
         CRIME                    C650
         STRUCTURAL               S362
         HUMAN                    H550
         BEGIN                    B250
         MONTHLY                  M534
         PRISON                   P625
         COLUMN                   C450
         DOCTOR                   D236
         COURSE                   C620
         OFFER                    O160
         ASSOCIATED               A223
         WASTE                    W230
         WIN                      W500
         CLOUDY                   C430
         DEVICE                   D120
         INCREASED                I526
         GREEK                    G620
         ANNUAL                   A540
         SPLIT                    S143
         LIBERTY                  L163
         SUGGESTED                S223
         SLOWLY                   S440
         BETWEEN                  B350
         EXPAND                   E215
         SHIP                     S100
         JET                      J300
         PAY                      P000
         STUFF                    S310
         ASSEMBLY                 A251
         PIN                      P500
         JUSTICE                  J232
